source,author,comment,published_at,like_count
YouTube,@Beetle-fan,"About time the Dads of this world had some recognition, well done John Lewis❤",2025-11-09T00:46:48Z,0
YouTube,@stuartjack9034,Hang about! Are John Lewis suddenly selling vinyl?,2025-11-09T00:32:35Z,0
YouTube,@lucyraybould,"Oh and I’m not a dad, only have daughters… but I’ve shared many a spliff with my 20 yr old who is a born again 90s raver and festival goer.  She doesn’t see me as 53, it feels like we are on a level and she always asks if I’m ok and that in her mind we are both still girls living on earth for the first time. She’s so emotionally mature.. more than most adults.
The Alison Limerick track which I haven’t heard since I was about her age just really hit hard and of course I sent her the link straight away ( she’s just started uni and I miss her so so much ) 
Of course she won’t get the message for a few hrs.. sat night in Liverpool at 20. Defo be out living her best life 🫶🏻",2025-11-09T00:16:51Z,0
YouTube,@TediousAffair,Best ad ever❤,2025-11-09T00:08:13Z,0
YouTube,@lucyraybould,"53 year old here and this got me emotional. Early 90s dance music, all nighters, Hacienda, Quadrant park, Monroes in Blackburn… etc. 
4 daughters, 28,22,20 (she’s inherited the raving crown) and 18.. 3 granddaughters and life couldn’t be more different but that tune took me right back. Happy carefree times. 
Best ad  you’ve done yet  Thank you John Lewis 🙌🏼💙",2025-11-08T23:53:01Z,0
YouTube,@naiche9,Beautiful! Happy Christmas everyone,2025-11-08T23:49:15Z,0
YouTube,@roryfrasersupmatesussy8295,Well done JL. The story captures the human connection between dad and son perfectly. And what a tune! It takes me back. A masterclass in emotional storytelling. 👏,2025-11-08T23:17:53Z,0
YouTube,@hannahweedon9336,The club scene completely ripped off the identical scene from Aftersun starring Paul Mescal - shame on you John Lewis!,2025-11-08T23:06:11Z,0
YouTube,@scouser19a,Love it ❤,2025-11-08T22:56:44Z,0
YouTube,@daviddavidson9209,"Beautiful reading so many comments from dads in a similar chapter of life as the ad. It really spoke to me too. In kind of a different way - I'm 37, twin boys are about 9 months old, and I spend a lot of time thinking about how these are days and years to treasure, even when it doesn't feel like it. This ad does as good a job as anything I can imagine of reminding me that I'll look back on these days with great yearning, even as the future brings experiences of its own. Bravo.",2025-11-08T22:54:11Z,0
YouTube,@winthir,soppy,2025-11-08T22:18:06Z,0
YouTube,@ColdHardToronto,Gold! No woke trash.  Only genuine emotion,2025-11-08T21:24:17Z,0
YouTube,@TheArnoldWorld,Life is short. Time moves fast. Enjoy and smile. Ignore negativity.,2025-11-08T21:12:27Z,1
YouTube,@Ginge1164,Amazing ❤️,2025-11-08T21:01:41Z,0
YouTube,@moranodj,"👍👍👍
Well done John Lewis. 
Superb. Best advert for a very very long time",2025-11-08T20:51:57Z,0
YouTube,@chrismayhew6528,"as a 41 yr old father in England, this is PERFECT, just PERFECT I shed a tear. Thank you 🙂",2025-11-08T20:49:19Z,0
YouTube,@Asbo.666,Anyone else craving some Mandy 😂,2025-11-08T20:43:13Z,1
YouTube,@rumnraisan,"Those who feel it, know it ❤️",2025-11-08T20:38:12Z,0
YouTube,@matc0919,Why can't they just stick to fun.,2025-11-08T20:33:38Z,0
YouTube,@mslmmountainbiker,Amazing ad ❤🥲,2025-11-08T20:22:51Z,0
YouTube,@dpfghela,Sorry… not feeling this. It’s a personal tale. Magical in that regard. But there’s no Christmas magic in this for me. Feels more like a charity ad.,2025-11-08T20:22:30Z,0
YouTube,@MrSledge121,Perfection,2025-11-08T20:20:59Z,0
YouTube,@MrTomalas,"An age-old retailer knows more  about bringing a country together than a government. Well done, john lewis for reminding us of who we are....",2025-11-08T20:12:19Z,0
YouTube,@planthousecheshire,"Finally, an advert that represents me and my culture, Who would have thought it in 2025. John Lewis has my back.. well done for not bending the knee.",2025-11-08T20:11:14Z,0
YouTube,@m.c200,I dance like the dad at raves now and I’m 22,2025-11-08T20:09:18Z,0
YouTube,@LMAO2510,10/10. Thank you for not being woke.,2025-11-08T19:22:33Z,0
YouTube,@paulb3318,"Oh Wow, John Lewis… thank you for this, your best Christmas advert is SO many years.  

No silly agendas, no pandering, just a good honest family, and a Dad realising the best times of his life aren’t the old days, it’s his son.

I’m not crying…. You’re crying 😂",2025-11-08T18:42:58Z,0
YouTube,@millsidecottage,Wish I could hug my dad again. 😢,2025-11-08T18:09:11Z,0
YouTube,@annefarrell4689,Beautiful ❤,2025-11-08T17:59:30Z,0
YouTube,@spartalane13,How on earth did you guys achieve this greatness in just 2minutes with hardly any dialogue??,2025-11-08T17:51:51Z,0
YouTube,@ggregor123,Yes this is completely accurate and has me fighting the tears. Fatherhood is incredible.,2025-11-08T17:40:48Z,1
YouTube,@CarolinePerry-k2b,"Gah, this one hits hard! So many emotions wrapped into one little ad. Beautifully done. 😭",2025-11-08T17:10:40Z,0
YouTube,@69bock69,10k likes all ready.  Says it all,2025-11-08T16:54:16Z,0
YouTube,@69bock69,"Well done john lewis , well done 👏",2025-11-08T16:53:11Z,0
YouTube,@lastblast48,Excellent ad.,2025-11-08T16:26:11Z,0
YouTube,@adambinnie1332,"The song that would get me all emotional from my youth would be Sham 69 'hurry up Harry""",2025-11-08T16:21:31Z,0
YouTube,@gabi.monsanto521,"This is magnificent. Poetic, meaningful and full of power! Amazing job ❤ congrats",2025-11-08T16:20:25Z,0
YouTube,@jp7140,Good to see. A British family. Father and son connecting. A special moment where words are not required. Well done JL for not succumbing to the temptation to deliver some woke liberal elite pleasing nonsense.,2025-11-08T15:55:48Z,2
YouTube,@DeservesAQuietNight,Directed by Jonathan Alric 🙌😍✨,2025-11-08T15:38:16Z,0
YouTube,@CloudHayley,10/10 Weldone John Lewis ! ❤🎉,2025-11-08T15:06:34Z,0
YouTube,@petergradon1818,"Being lucky enough to be part of the 90s dance era going clubbing was the best, but now having three sons aged 15,16,20 this advert hits alot of emotions and very relateable brilliant advert 👏 well done john lewis 👏",2025-11-08T14:37:52Z,12
YouTube,@lorrainegmoore5042,Think you have to be a parent to really understand the feelings . Perfect for Christmas 😊,2025-11-08T14:33:32Z,0
YouTube,@Dingle18,What’s the song at the end when it fades,2025-11-08T13:53:15Z,0
YouTube,@pezza39817,This had me in bits. The ad agency needs an Oscar. Briliiant.,2025-11-08T13:47:56Z,1
YouTube,@AndrewCahill789,Finally back to good adverts.,2025-11-08T13:44:50Z,0
YouTube,@nomads66,Man this advert got me 😢. Well done John lewis. Smashed it this year,2025-11-08T13:23:41Z,1
YouTube,@danieljohnstonhq,Very perceptive ad. Well done John Lewis. Refreshing to see a break from the misandry which is so prevalent in today's society.,2025-11-08T13:20:35Z,4
YouTube,@Misscontess,"This is beautiful, wholesome, wonderful.  Just what the world needs more of today. Definitely no ‘woke’ here!",2025-11-08T13:15:32Z,2
YouTube,@AlexDeLarge77,"The advertising agency that produced this is swimming against the tide, that is for sure, but that is a masterclass in how it is done.

Yes, an English family where father and son are centre stage is definitely a welcome change.

The musical choice instantly invokes nostalgia for the generation X’ers out there.

The tone was perfect and the use of memory of the son from baby to toddler to teenager is powerful stuff.

I shop at John Lewis and will continue to do so.

It is just referring to see fathers, sons and men shown in a positive light for a change.",2025-11-08T12:12:44Z,3
YouTube,@marcdavis8842,Wooow !! By far the finest Xmas add in years !!!!.I'm 45 years old and that add sooooooo speaks to me Huge Thanks John Lewis very emotional and even I teared up 😢😢 just beautiful. It also shows that we were the very last Generation as whole that had no smart phones no social media..We just enjoyed life went out and enjoyed the music at Clubs and Gigs Culture & Fashion It was an escape and we parted the 80's and 90's absolutely Rocked !!!!.,2025-11-08T11:41:26Z,1
YouTube,@seanmet69,Love love love that!,2025-11-08T11:09:49Z,2
YouTube,@vaniaguy8257,"My son's dad should be watching this ad again and again and trying to connect with his son rather than expect and demand that his son connect to what he became, a pure copy of his own father. History repeating itself,  just so sad to watch.",2025-11-08T11:08:21Z,0
YouTube,@jamesharrison611,"Wow, they get it…..shame I got dust in my eyes.😢",2025-11-08T11:02:51Z,4
YouTube,@plebjames,"The lesson is clear: Dads, don't take magic mushrooms on Christmas day",2025-11-08T10:57:08Z,1
YouTube,@Michael-xh3bt,I came because GAYDIO Manchester spilled the tea on this,2025-11-08T10:51:35Z,0
YouTube,@ayofemionyoutube,This is so good.,2025-11-08T10:33:53Z,2
YouTube,@PreparingForTheNewJerusalem,John Lewis still a British Iconic brand and one of the only brands still in sync with the pulse of British people. A quality advert well done ❤️🙏🏻☦️,2025-11-08T10:30:09Z,4
YouTube,@sadr0bot,"It's Aftersun, you've remade the ending of Aftersun.",2025-11-08T10:28:03Z,2
YouTube,@kika_marie,"The more I watch this, the more I love it. I THINK it’s edged into my top three John Lewis Christmas ads. Incredibly heartfelt 💫",2025-11-08T09:53:42Z,1
YouTube,@3dom-g1x,I think this is the best Christmas advert I have seen for years.,2025-11-08T09:15:33Z,3
YouTube,@leemendez7876,A normal family too. Bravo John Lewis.,2025-11-08T09:04:40Z,7
YouTube,@WilVincent27,"As amazing as ever. There's so much to unpick, which makes this so thought provoking, and I'm sure everyone will take their own message from it. I see how important that father son relationship is, and even when going through a tough spell in life, communicating is so useful, even if it is through music.

Be a friend, do something nice for a friend. It may change their life.",2025-11-08T08:52:09Z,0
YouTube,@Ggg-y4k6h,Had me in bits ❤❤,2025-11-08T08:42:50Z,3
YouTube,@tommyRfrancis,"So much respect to you JL, this brought me and my wife to tears - brilliant advert on so many levels👊🏼",2025-11-08T08:40:42Z,4
YouTube,@winny8420,Beautiful,2025-11-08T08:28:41Z,2
YouTube,@sallycinnamon795,"Love it. This is how Ads should be done. 

Now this makes me feel all christmassy and take to the shops instead of Amazon",2025-11-08T08:23:04Z,2
